feature,n_pairs,mean_delta_ai_minus_real,median_delta,std_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr
gradient_mean,8,-0.056804300751537085,-0.0617452934384346,0.04001193441295624,-1.4196839414278186,0.0,0.0078125,0.03125
dct_highfreq_ratio_mean,8,-0.08044320914687737,-0.09072686268761987,0.058600094846881653,-1.3727487874733035,0.125,0.015625,0.03125
HL3_entropy,8,-0.4330939287113358,-0.47211869426996644,0.30551956224310045,-1.4175652960864256,0.125,0.015625,0.03125
LH3_energy,8,-0.00922525221540127,-0.007417595013976097,0.008265516603695917,-1.1161132035323973,0.125,0.015625,0.03125
LH3_absmean,8,-0.02077250275760889,-0.020772725343704224,0.012842319410881022,-1.6175039798503061,0.125,0.015625,0.03125
HH3_entropy,8,-0.6309107052214897,-0.6970120486831761,0.44234948005550273,-1.4262720624026228,0.125,0.015625,0.03125
ela_mean,8,-0.0017427152197342366,-0.0021099515724927187,0.0011677850478171053,-1.4923253410307193,0.125,0.015625,0.03125
ela_std,8,-0.001253389404155314,-0.0014911748003214598,0.0007368838294094138,-1.7009321607177363,0.125,0.015625,0.03125
ela_p95,8,-0.003921568626537919,-0.003921568393707275,0.0020961667271998928,-1.8708285823124575,0.0,0.015625,0.03125
gradient_p95,8,-0.19726126082241535,-0.17801888287067413,0.13038334805657403,-1.5129329301838654,0.125,0.015625,0.03125
lbp_dominant_bin,8,0.2033095359802246,0.2698650360107422,0.13816293997841722,1.4715200473584602,0.875,0.015625,0.03125
lbp_hist_entropy,8,-0.6101011680997034,-0.7435385532207668,0.41792205106609975,-1.459844405298461,0.125,0.015625,0.03125
HH1_absmean,8,-0.005265689687803388,-0.003604644094593823,0.005056047581034903,-1.041463634075527,0.125,0.015625,0.03125
HH1_entropy,8,-1.5157247852415376,-1.511629893505782,0.8893598333457062,-1.7042874305886881,0.125,0.015625,0.03125
HH3_energy,8,-0.003736254046089016,-0.0024510103394277394,0.003966053592678508,-0.9420583859447309,0.125,0.015625,0.03125
lbp_std_code,8,-0.525708403265736,-0.5856136240482586,0.37450822942715145,-1.4037299102074756,0.125,0.015625,0.03125
low_freq_ratio,8,0.0606125183403492,0.02445131540298462,0.09499833180787555,0.638037712735123,0.875,0.0234375,0.03125
detail_energy_ratio,8,-0.001698862286766589,-0.0015880953657923468,0.0017629197038043333,-0.9636640189002879,0.125,0.0234375,0.03125
HH2_energy,8,-0.0011908640244655544,-0.0009828325419221073,0.0011153997935139542,-1.06765666569998,0.125,0.0234375,0.03125
crossdiff_absmean,8,-0.009800350409932435,-0.006446124287322164,0.009863900351423528,-0.9935573212190935,0.125,0.0234375,0.03125
glcm_correlation_mean,8,0.056882443617247036,0.02493526040381694,0.08453972971767904,0.6728486571604418,0.75,0.03125,0.03125
glcm_contrast_mean,8,-2.0034972955799484,-1.9314657516165004,1.867945841421593,-1.0725671222112063,0.25,0.03125,0.03125
mid_freq_ratio,8,-0.04226097004720941,-0.01114226644858718,0.08185777331953481,-0.5162731446681572,0.25,0.03125,0.03125
HL2_energy,8,-0.003639478440163657,-0.003285501152276993,0.0032575745378526683,-1.1172356604195257,0.25,0.03125,0.03125
LH2_energy,8,-0.0021222475334070623,-0.001786152133718133,0.0021735334437614543,-0.976404361063965,0.25,0.03125,0.03125
spectral_centroid,8,-0.02825213817172405,-0.009141468694888926,0.04132029848754268,-0.6837350940299126,0.25,0.03125,0.03125
dct_highfreq_abs_mean,8,-0.004774164874106646,-0.0029330665711313486,0.005146068819008104,-0.9277304758288984,0.125,0.0390625,0.03125
glcm_contrast_std,8,-0.601718964831081,-0.5845232525770827,0.6237372984718423,-0.9646993474741589,0.25,0.0390625,0.03125
gradient_std,8,-0.04906648024916649,-0.051389217376708984,0.052464866360494924,-0.9352254880822997,0.25,0.046875,0.03125
LH1_energy,8,-0.0004853074005950475,-0.0005196569400141016,0.0005625902249952587,-0.8626303462687029,0.25,0.046875,0.03125
HL1_energy,8,-0.001166341648058733,-0.0007171792967710644,0.0015160764534881156,-0.7693158517007966,0.25,0.046875,0.03125
contour_count,8,-586.5,-388.5,739.0080223805809,-0.7936314386827577,0.25,0.046875,0.03125
glcm_dissimilarity_std,8,-0.054954870619813516,-0.057040413735501436,0.060732291819080186,-0.904870686973621,0.25,0.0546875,0.03125
glcm_ASM_std,8,0.0013099378586634116,0.0008513868909461528,0.0016976685229917218,0.7716099114301591,0.875,0.0546875,0.03125
